County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Collier,2018-05-01 00:00:00,MSW18117,F,275,Little Hickory Bay,Bonita Springs,Verified: Not Recovered
Collier,2018-05-02 00:00:00,MSW18118,M,270,Caxambas Bay,Marco Island,Natural: Other
Lee,2018-05-02 00:00:00,MSW18119,F,283,Buccaneer Bay,Ft. Myers Beach,Natural: Other
Collier,2018-05-03 00:00:00,MSW18120,U,300,Fakahatchee Bay,Naples,Verified: Not Recovered
Duval,2018-05-04 00:00:00,MNE18024,F,262,St. Johns River,Jacksonville,Undetermined: Too Decomposed
Brevard,2018-05-05 00:00:00,MEC18056,F,152,Indian River,Titusville,Natural: Cold Stress
Monroe,2018-05-05 00:00:00,MSE18051,U,240,Tavernier Creek,Tavernier,Verified: Not Recovered
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Miami-Dade,2018-05-06 00:00:00,MSE18052,M,311,Deering Channel,Miami,Undetermined: Other
Lee,2018-05-06 00:00:00,MSW18121,M,283,Caloosahatchee River,Ft. Myers,Human Related: Watercraft Collision
Lee,2018-05-06 00:00:00,MSW18122,U,290,Estero Bay,Ft. Myers Beach,Verified: Not Recovered
Manatee,2018-05-07 00:00:00,MNW18054,M,131,Manatee River,Bradenton,Perinatal (<= 150 cm)
Pinellas,2018-05-07 00:00:00,MNW18055,M,202,Old Tampa Bay,St. Petersburg,Natural: Other
Charlotte,2018-05-07 00:00:00,MSW18123,M,251,Charlotte Harbor,Boca Grande,Natural: Other
Lee,2018-05-07 00:00:00,MSW18124,M,98,Hurricane Bay,Ft. Myers Beach,Perinatal (<= 150 cm)
Lee,2018-05-07 00:00:00,MSW18127,U,245,Pine Island Sound,Captiva,Verified: Not Recovered
Lee,2018-05-08 00:00:00,MSW18125,F,184,San Carlos Bay,St. James City,Natural: Other
Volusia,2018-05-09 00:00:00,MEC18057,F,264,Mosquito Lagoon,Merritt Island,Human Related: Watercraft Collision
Collier,2018-05-09 00:00:00,MSW18126,M,160,Cocohatchee River,Naples,Undetermined: Too Decomposed
Lee,2018-05-09 00:00:00,MSW18128,F,246,Boca Grande Bayou,Boca Grande,Natural: Other
Lee,2018-05-09 00:00:00,MSW18129,F,138,Caloosahatchee River,Cape Coral,Perinatal (<= 150 cm)
Hillsborough,2018-05-10 00:00:00,MNW18056,F,110,Hillsborough River,Tampa,Perinatal (<= 150 cm)
Wakulla,2018-05-10 00:00:00,MNW18057,M,263,St. Marks River,St. Marks,Human Related: Watercraft Collision
Collier,2018-05-10 00:00:00,MSW18130,F,273,Faka Union Canal,Port of the Islands,Undetermined: Too Decomposed
Brevard,2018-05-11 00:00:00,MEC18058,M,104,Turkey Creek,Palm Bay,Perinatal (<= 150 cm)
Martin,2018-05-11 00:00:00,MSTm1809,M,93,Great Pocket,Stuart,Perinatal (<= 150 cm)
Collier,2018-05-11 00:00:00,MSW18131,F,263,Gullivan Bay,Cape Romano,Natural: Other
Lee,2018-05-11 00:00:00,MSW18132,U,110,Back Bay,Bokeelia,Verified: Not Recovered
Lee,2018-05-11 00:00:00,MSW18133,F,303,Ten Mile Canal,Ft. Myers,Natural: Other
Brevard,2018-05-12 00:00:00,MEC18059,F,121,Banana River,Cocoa Beach,Perinatal (<= 150 cm)
Indian River,2018-05-13 00:00:00,MEC18060,M,280,Indian River,Vero Beach,Human Related: Watercraft Collision
Pinellas,2018-05-13 00:00:00,MNW18058,M,106,Clearwater Harbor (ICW),Indian Rocks Beach,Perinatal (<= 150 cm)
Pasco,2018-05-14 00:00:00,MNW18059,M,324,Gulf of Mexico,Hudson,Human Related: Watercraft Collision
Lee,2018-05-14 00:00:00,MSW18134,U,110,Caloosahatchee River,Ft. Myers,Verified: Not Recovered
Collier,2018-05-15 00:00:00,MSW18135,M,157,Faka Union Canal,Port of the Islands,Natural: Other
Sarasota,2018-05-15 00:00:00,MSW18136,F,137,Fox Creek,Nokomis,Perinatal (<= 150 cm)
Collier,2018-05-16 00:00:00,MSW18137,F,302,Venetian Bay,Naples,Natural: Other
Pinellas,2018-05-18 00:00:00,MNW18060,F,315,Long Bayou,Seminole,Undetermined: Too Decomposed
Glades,2018-05-18 00:00:00,MSW18138,F,245,Lake Okeechobee,Moore Haven,Verified: Not Recovered
Lee,2018-05-18 00:00:00,MSW18139,M,132,Imperial River,Bonita Springs,Perinatal (<= 150 cm)
Brevard,2018-05-19 00:00:00,MEC18061,F,310,Indian River,Titusville,Undetermined: Too Decomposed
Brevard,2018-05-22 00:00:00,MEC18062,M,245,Banana River,Merritt Island,Undetermined: Other
Lee,2018-05-22 00:00:00,MSW18140,U,260,Pine Island Sound,Captiva,Verified: Not Recovered
Manatee,2018-05-23 00:00:00,MNW18061,F,274,Braden River,Bradenton,Human Related: Watercraft Collision
Lee,2018-05-23 00:00:00,MSW18144,M,285,Thunderbird Lake,Cape Coral,Verified: Not Recovered
